class,x1,y1,x2,y2,x3,y3,x4,y4
0,768.0,264.1255679089248,0.0,483.2225305256111,-1.1368683772161603e-13,523.2225305256111,768.0,304.1255679089248
1,427.8356572880031,378.1297987067485,387.8356572880031,378.1297987067485,387.8356572880031,418.1297987067485,427.8356572880031,418.1297987067485
1,229.9599861316276,413.65300746437157,189.9599861316276,413.65300746437157,189.9599861316276,453.6530074643716,229.9599861316276,453.65300746437157
1,508.90939557916874,147.9586521026282,468.90939557916874,147.9586521026282,468.90939557916874,187.9586521026282,508.90939557916874,187.9586521026282
1,527.125062068354,142.43373128919586,487.12506206835405,142.43373128919586,487.12506206835405,182.43373128919586,527.125062068354,182.43373128919586
2,313.0,344.0,293.0,344.0,293.0,364.0,313.0,364.0
2,649.0,208.0,629.0,208.0,629.0,228.0,649.0,228.0
2,432.00000000000006,686.0,412.00000000000006,686.0,412.00000000000006,706.0,432.00000000000006,706.0
2,619.0,319.0,599.0,319.0,599.0,339.0,619.0,339.0
2,225.0,329.0,205.0,329.0,205.0,349.0,225.0,349.0
2,288.0,622.0,268.0,622.0,268.0,642.0,288.0,642.0
2,479.0,630.0,459.0,630.0,459.0,650.0,479.0,650.0
2,259.0,153.0,238.99999999999997,153.0,238.99999999999997,173.0,259.0,173.0
