class,x1,y1,x2,y2,x3,y3,x4,y4
0,768.0,352.50659425096603,596.8057235716997,0.0,577.3797861032597,0.0,768.0,392.50659425096603
1,327.3815946947079,67.90940052994017,287.3815946947079,67.90940052994017,287.3815946947079,107.90940052994017,327.3815946947079,107.90940052994017
1,273.3724308017561,49.401907612722255,233.37243080175608,49.401907612722255,233.37243080175608,89.40190761272225,273.3724308017561,89.40190761272225
1,218.11583124025685,210.38382651932034,178.11583124025685,210.38382651932034,178.11583124025685,250.38382651932034,218.11583124025685,250.38382651932034
1,190.56390001707302,245.4141134977823,150.56390001707302,245.4141134977823,150.56390001707302,285.4141134977823,190.56390001707302,285.4141134977823
1,186.8721207440051,646.894270419614,146.8721207440051,646.894270419614,146.8721207440051,686.894270419614,186.8721207440051,686.894270419614
2,605.0,326.0,585.0,326.0,585.0,346.0,605.0,346.0
2,22.0,454.0,2.0,454.0,2.0,474.0,22.0,474.0
2,267.0,135.0,247.0,135.0,247.0,155.0,267.0,155.0
2,24.0,321.0,4.0,321.0,4.0,341.0,24.0,341.0
2,746.0,480.0,726.0,480.0,726.0,500.0,746.0,500.0
