class,x1,y1,x2,y2,x3,y3,x4,y4
0,-0.0,352.50659425096603,171.19427642830038,0.0,190.62021389674038,0.0,-0.0,392.50659425096603
1,440.6184053052921,67.9094005299402,480.6184053052921,67.9094005299402,480.6184053052921,107.9094005299402,440.6184053052921,107.9094005299402
1,494.6275691982439,49.40190761272227,534.6275691982439,49.40190761272227,534.6275691982439,89.40190761272227,494.6275691982439,89.40190761272227
1,549.8841687597431,210.38382651932034,589.8841687597431,210.38382651932034,589.8841687597431,250.38382651932034,549.8841687597431,250.38382651932034
1,577.436099982927,245.4141134977823,617.436099982927,245.4141134977823,617.436099982927,285.4141134977823,577.436099982927,285.4141134977823
1,581.1278792559949,646.894270419614,621.1278792559949,646.894270419614,621.1278792559949,686.894270419614,581.1278792559949,686.894270419614
2,163.0,326.0,183.0,326.0,183.0,346.0,163.0,346.0
2,746.0,454.0,766.0,454.0,766.0,474.0,746.0,474.0
2,501.0,135.0,521.0,135.0,521.0,155.0,501.0,155.0
2,744.0,321.0,764.0,321.0,764.0,341.0,744.0,341.0
2,22.0,480.0,42.0,480.0,42.0,500.0,22.0,500.0
