class,x1,y1,x2,y2,x3,y3,x4,y4
0,768.0,344.02588072872675,0.0,711.9888431219924,0.0,671.9888431219924,768.0,304.02588072872675
1,96.53842029275847,85.33417186263432,56.538420292758474,85.33417186263432,56.538420292758474,45.33417186263432,96.53842029275847,45.33417186263432
1,193.94154135101326,104.92074791389007,153.94154135101326,104.92074791389007,153.94154135101326,64.92074791389007,193.94154135101326,64.92074791389007
1,425.00245365428714,172.7541776629671,385.00245365428714,172.7541776629671,385.00245365428714,132.7541776629671,425.00245365428714,132.7541776629671
1,695.5919310105949,41.670609276890445,655.5919310105949,41.670609276890445,655.5919310105949,1.6706092768904455,695.5919310105949,1.6706092768904455
1,397.98045729741193,252.23390204690634,357.98045729741193,252.23390204690634,357.98045729741193,212.23390204690634,397.98045729741193,212.23390204690634
1,505.8343396003646,244.9474933214966,465.8343396003646,244.9474933214966,465.8343396003646,204.9474933214966,505.8343396003646,204.9474933214966
1,631.1807873292635,185.1040941301876,591.1807873292635,185.1040941301876,591.1807873292635,145.1040941301876,631.1807873292635,145.1040941301876
1,676.2916594453945,230.41667342946607,636.2916594453945,230.41667342946607,636.2916594453945,190.41667342946607,676.2916594453945,190.41667342946607
2,96.0,350.0,76.0,350.0,76.0,330.0,96.0,330.0
2,694.0,351.0,674.0,351.0,674.0,331.0,694.0,331.0
2,434.0,453.0,414.0,453.0,414.0,433.0,434.0,433.0
2,402.0,291.0,382.0,291.0,382.0,271.0,402.0,271.0
2,413.0,131.0,393.0,131.0,393.0,111.0,413.0,111.0
2,144.0,127.0,124.0,127.0,124.0,107.0,144.0,107.0
2,685.0,422.0,665.0,422.0,665.0,402.0,685.0,402.0
